number,specname
1356,C523OH
1357,C729CO3H
1358,PRPAL2CO3H
1359,UDECOOH
1360,C720OOH
1361,C43NO34OOH
1362,C734CO
1363,C4M2NO3OOH
1364,PBZMUCCO2H
1365,DECOOH
1366,CO2M33CO3H
1367,C1011OOH
1368,BRETO3H
1369,CO25C6CO3H
1370,CO23C54OOH
1371,PERPINONIC
1372,C830CO3H
1373,HO2C43CO3H
1374,ETBEACO3H
1375,H13M3C5NO3
1376,C6O4KETOOH
1377,C645OH
1378,IBUTOLBO2H
1379,CY6DIONOOH
1380,C7DDCCO3H
1381,EBFUCO
1382,PXYFUOOH
1383,C917OOH
1384,C1211OOH
1385,MIBKAOOH
1386,OXYOLOOH
1387,DETLBPROOH
1388,H25M2C6
1389,C718CO2H
1390,IPCATC1OOH
1391,DNT123LOOH
1392,M2PEDOOH
1393,C4ME2OHOOH
1394,HO2C4OH
1395,EPXKTMCO2H
1396,C136OOH
1397,IPBZMUCO3H
1398,PXNCATCOOH
1399,C42NO33OOH
1400,C4ME3HO12
1401,C63OOH
1402,CLOHCO2H
1403,PXYMUCOOH
1404,PE2ONE1OOH
1405,ACETMECO3H
1406,C7DCOOH
1407,C126OOH
1408,C522CO2H
1409,C7DCCO3H
1410,NSTYRENEO
1411,C127OOH
1412,C823CO3H
1413,IPMLNHYOOH
1414,NMETOL1OOH
1415,EPXEKTCO2H
1416,NORLIMOOH
1417,NDNT123OOH
1418,PBENZOOH
1419,DNT124LOOH
1420,DETLMUOOH
1421,CCL3CO3H
1422,C69OOH
1423,LMKANO3
1424,DMEBMUO3H
1425,INAHPCO3H
1426,IPBENZOOH
1427,OXYMUCCO3H
1428,C5CO234OOH
1429,C89OOH
1430,C537O
1431,TM135BPOOH
1432,C619OOH
1433,NC72OOH
1434,C622CO3H
1435,BOXCOALOOH
1436,H2M5C65OOH
1437,PXYLOOH
1438,TM124QOOH
1439,EPXMEDCO3H
1440,C732OOH
1441,C615CO2H
1442,C7ADCOOH
1443,DMMBOOH
1444,HO5C6CO3H
1445,MXYMUCCO2H
1446,IPNNCATOOH
1447,C5CO23OOH
1448,NBUTDBOOH
1449,C1312OOH
1450,H3M3C6OOH
1451,TMBOOH
1452,HO3C126OOH
1453,C4NO32MOOH
1454,C533OOH
1455,C626CO2H
